layer,geoid,topic,stratification,period,value
Zip code,54901,FVDEWVAR,X1S2,2018-2019,19
Zip code,54901,FVDEWVAR,X2N2,2018-2019,34
Zip code,54901,FVDEWVAR,X3R2,2018-2019,27
Zip code,54901,FVDEWVAR,X4T2,2018-2019,61
Zip code,54901,FVDEWVAR,X5T3,2018-2019,88
Zip code,54901,FVDEWVAR,X6T3,2018-2019,106
Zip code,54901,FVDEWVAR,X7T2,2018-2019,186
Zip code,54901,FVDEWVAR,X8T2,2018-2019,126
Zip code,54901,FVDEWVAR,X9T3,2018-2019,128
Zip code,54902,FVDEWVAR,,2018-2019,442
Zip code,54902,FVDEWVAR,A,2018-2019,3
Zip code,54902,FVDEWVAR,B,2018-2019,63
Zip code,54902,FVDEWVAR,ECO1,2018-2019,355
Zip code,54902,FVDEWVAR,EL1,2018-2019,15
Zip code,54902,FVDEWVAR,ENG3,2018-2019,427
Zip code,54902,FVDEWVAR,FEM3,2018-2019,102
Zip code,54902,FVDEWVAR,H,2018-2019,44
Zip code,54902,FVDEWVAR,KIN2,2018-2019,12
Zip code,54902,FVDEWVAR,MAL15,2018-2019,340
Zip code,54902,FVDEWVAR,NOT3,2018-2019,87
Zip code,54902,FVDEWVAR,Q,2018-2019,26
Zip code,54902,FVDEWVAR,SWD1,2018-2019,215
Zip code,54902,FVDEWVAR,SWO1,2018-2019,227
Zip code,54902,FVDEWVAR,UNK5,2018-2019,17
Zip code,54902,FVDEWVAR,W,2018-2019,289
Zip code,54902,FVDEWVAR,X1012,2018-2019,78
Zip code,54902,FVDEWVAR,X113,2018-2019,21
Zip code,54902,FVDEWVAR,X1210,2018-2019,23
Zip code,54902,FVDEWVAR,X1S2,2018-2019,15
Zip code,54902,FVDEWVAR,X2N2,2018-2019,5
Zip code,54902,FVDEWVAR,X3R2,2018-2019,30
Zip code,54902,FVDEWVAR,X4T2,2018-2019,23
Zip code,54902,FVDEWVAR,X5T3,2018-2019,14
Zip code,54902,FVDEWVAR,X6T3,2018-2019,47
Zip code,54902,FVDEWVAR,X7T2,2018-2019,28
Zip code,54902,FVDEWVAR,X8T2,2018-2019,50
Zip code,54902,FVDEWVAR,X9T3,2018-2019,96
Zip code,54904,FVDEWVAR,,2018-2019,100
Zip code,54904,FVDEWVAR,B,2018-2019,6
Zip code,54904,FVDEWVAR,ECO1,2018-2019,60
Zip code,54904,FVDEWVAR,EL1,2018-2019,2
Zip code,54904,FVDEWVAR,ENG3,2018-2019,98
Zip code,54904,FVDEWVAR,FEM3,2018-2019,12
Zip code,54904,FVDEWVAR,H,2018-2019,4
Zip code,54904,FVDEWVAR,KIN2,2018-2019,9
Zip code,54904,FVDEWVAR,MAL15,2018-2019,88
Zip code,54904,FVDEWVAR,NOT3,2018-2019,40
Zip code,54904,FVDEWVAR,Q,2018-2019,2
Zip code,54904,FVDEWVAR,SWD1,2018-2019,43
Zip code,54904,FVDEWVAR,SWO1,2018-2019,57
Zip code,54904,FVDEWVAR,UNK5,2018-2019,10
Zip code,54904,FVDEWVAR,W,2018-2019,78
Zip code,54904,FVDEWVAR,X1S2,2018-2019,7
Zip code,54904,FVDEWVAR,X2N2,2018-2019,23
Zip code,54904,FVDEWVAR,X3R2,2018-2019,1
Zip code,54904,FVDEWVAR,X4T2,2018-2019,5
Zip code,54904,FVDEWVAR,X5T3,2018-2019,5
Zip code,54904,FVDEWVAR,X6T3,2018-2019,2
Zip code,54904,FVDEWVAR,X7T2,2018-2019,36
Zip code,54904,FVDEWVAR,X8T2,2018-2019,12
Zip code,54911,FVDEWVAR,,2018-2019,186
Zip code,54911,FVDEWVAR,A,2018-2019,1
Zip code,54911,FVDEWVAR,B,2018-2019,24
Zip code,54911,FVDEWVAR,ECO1,2018-2019,122
Zip code,54911,FVDEWVAR,EL1,2018-2019,8
Zip code,54911,FVDEWVAR,ENG3,2018-2019,178
Zip code,54911,FVDEWVAR,FEM3,2018-2019,26
Zip code,54911,FVDEWVAR,H,2018-2019,19
Zip code,54911,FVDEWVAR,KIN2,2018-2019,6
Zip code,54911,FVDEWVAR,MAL15,2018-2019,160
Zip code,54911,FVDEWVAR,NOT3,2018-2019,64
Zip code,54911,FVDEWVAR,Q,2018-2019,18
Zip code,54911,FVDEWVAR,SWD1,2018-2019,107
Zip code,54911,FVDEWVAR,SWO1,2018-2019,79
Zip code,54911,FVDEWVAR,UNK5,2018-2019,11
Zip code,54911,FVDEWVAR,W,2018-2019,113
Zip code,54911,FVDEWVAR,X1S2,2018-2019,21
Zip code,54911,FVDEWVAR,X2N2,2018-2019,19
Zip code,54911,FVDEWVAR,X3R2,2018-2019,31
Zip code,54911,FVDEWVAR,X4T2,2018-2019,27
Zip code,54911,FVDEWVAR,X5T3,2018-2019,15
Zip code,54911,FVDEWVAR,X6T3,2018-2019,18
Zip code,54911,FVDEWVAR,X7T2,2018-2019,16
Zip code,54911,FVDEWVAR,X8T2,2018-2019,33
Zip code,54913,FVDEWVAR,,2018-2019,106
Zip code,54913,FVDEWVAR,B,2018-2019,21
Zip code,54913,FVDEWVAR,ECO1,2018-2019,76
Zip code,54913,FVDEWVAR,EL1,2018-2019,10
Zip code,54913,FVDEWVAR,ENG3,2018-2019,93
