layer,geoid,topic,stratification,period,value
Zip code,54136,FVDEYLCV,X9T3,2024-2025,393
Zip code,54140,FVDEYLCV,,2024-2025,1586
Zip code,54140,FVDEYLCV,A,2024-2025,26
Zip code,54140,FVDEYLCV,AUT2,2024-2025,22
Zip code,54140,FVDEYLCV,B,2024-2025,40
Zip code,54140,FVDEYLCV,ECO1,2024-2025,550
Zip code,54140,FVDEYLCV,EL1,2024-2025,58
Zip code,54140,FVDEYLCV,EMO1,2024-2025,18
Zip code,54140,FVDEYLCV,ENG3,2024-2025,1528
Zip code,54140,FVDEYLCV,FEM3,2024-2025,570
Zip code,54140,FVDEYLCV,H,2024-2025,147
Zip code,54140,FVDEYLCV,K41,2024-2025,57
Zip code,54140,FVDEYLCV,KIN2,2024-2025,99
Zip code,54140,FVDEYLCV,MAL15,2024-2025,851
Zip code,54140,FVDEYLCV,NOT2,2024-2025,1257
Zip code,54140,FVDEYLCV,NOT3,2024-2025,1036
Zip code,54140,FVDEYLCV,NOT4,2024-2025,1586
Zip code,54140,FVDEYLCV,OTH52,2024-2025,63
Zip code,54140,FVDEYLCV,P,2024-2025,14
Zip code,54140,FVDEYLCV,P1,2024-2025,1
Zip code,54140,FVDEYLCV,PK1,2024-2025,4
Zip code,54140,FVDEYLCV,Q,2024-2025,79
Zip code,54140,FVDEYLCV,SIG1,2024-2025,22
Zip code,54140,FVDEYLCV,SPE2,2024-2025,39
Zip code,54140,FVDEYLCV,SPE3,2024-2025,21
Zip code,54140,FVDEYLCV,SWD1,2024-2025,236
Zip code,54140,FVDEYLCV,SWO1,2024-2025,1257
Zip code,54140,FVDEYLCV,UNK2,2024-2025,144
Zip code,54140,FVDEYLCV,UNK6,2024-2025,93
Zip code,54140,FVDEYLCV,UNK7,2024-2025,165
Zip code,54140,FVDEYLCV,W,2024-2025,1279
Zip code,54140,FVDEYLCV,X1012,2024-2025,118
Zip code,54140,FVDEYLCV,X113,2024-2025,121
Zip code,54140,FVDEYLCV,X1210,2024-2025,129
Zip code,54140,FVDEYLCV,X1S2,2024-2025,119
Zip code,54140,FVDEYLCV,X2N2,2024-2025,121
Zip code,54140,FVDEYLCV,X3R2,2024-2025,120
Zip code,54140,FVDEYLCV,X4T2,2024-2025,125
Zip code,54140,FVDEYLCV,X5T3,2024-2025,116
Zip code,54140,FVDEYLCV,X6T3,2024-2025,114
Zip code,54140,FVDEYLCV,X7T2,2024-2025,107
Zip code,54140,FVDEYLCV,X8T2,2024-2025,124
Zip code,54140,FVDEYLCV,X9T3,2024-2025,112
Zip code,54165,FVDEYLCV,,2024-2025,1427
Zip code,54165,FVDEYLCV,A,2024-2025,10
Zip code,54165,FVDEYLCV,AUT2,2024-2025,29
Zip code,54165,FVDEYLCV,B,2024-2025,8
Zip code,54165,FVDEYLCV,ECO1,2024-2025,544
Zip code,54165,FVDEYLCV,EL1,2024-2025,19
Zip code,54165,FVDEYLCV,EMO1,2024-2025,12
Zip code,54165,FVDEYLCV,ENG3,2024-2025,1408
Zip code,54165,FVDEYLCV,FEM3,2024-2025,668
Zip code,54165,FVDEYLCV,H,2024-2025,111
Zip code,54165,FVDEYLCV,K41,2024-2025,71
Zip code,54165,FVDEYLCV,KIN2,2024-2025,49
Zip code,54165,FVDEYLCV,MAL15,2024-2025,759
Zip code,54165,FVDEYLCV,NOT2,2024-2025,1197
Zip code,54165,FVDEYLCV,NOT3,2024-2025,883
Zip code,54165,FVDEYLCV,NOT4,2024-2025,1427
Zip code,54165,FVDEYLCV,OTH52,2024-2025,39
Zip code,54165,FVDEYLCV,P,2024-2025,145
Zip code,54165,FVDEYLCV,P1,2024-2025,1
Zip code,54165,FVDEYLCV,PK1,2024-2025,12
Zip code,54165,FVDEYLCV,Q,2024-2025,121
Zip code,54165,FVDEYLCV,SIG1,2024-2025,18
Zip code,54165,FVDEYLCV,SPE2,2024-2025,54
Zip code,54165,FVDEYLCV,SPE3,2024-2025,52
Zip code,54165,FVDEYLCV,SWD1,2024-2025,230
Zip code,54165,FVDEYLCV,SWO1,2024-2025,1197
Zip code,54165,FVDEYLCV,UNK2,2024-2025,26
Zip code,54165,FVDEYLCV,W,2024-2025,1031
Zip code,54165,FVDEYLCV,X1012,2024-2025,141
Zip code,54165,FVDEYLCV,X113,2024-2025,145
Zip code,54165,FVDEYLCV,X1210,2024-2025,172
Zip code,54165,FVDEYLCV,X1S2,2024-2025,78
Zip code,54165,FVDEYLCV,X2N2,2024-2025,77
Zip code,54165,FVDEYLCV,X3R2,2024-2025,72
Zip code,54165,FVDEYLCV,X4T2,2024-2025,102
Zip code,54165,FVDEYLCV,X5T3,2024-2025,92
Zip code,54165,FVDEYLCV,X6T3,2024-2025,103
Zip code,54165,FVDEYLCV,X7T2,2024-2025,84
Zip code,54165,FVDEYLCV,X8T2,2024-2025,97
Zip code,54165,FVDEYLCV,X9T3,2024-2025,132
Zip code,54170,FVDEYLCV,,2024-2025,725
Zip code,54170,FVDEYLCV,B,2024-2025,4
Zip code,54170,FVDEYLCV,ECO1,2024-2025,237
Zip code,54170,FVDEYLCV,EL1,2024-2025,22
Zip code,54170,FVDEYLCV,ENG3,2024-2025,703
Zip code,54170,FVDEYLCV,FEM3,2024-2025,355
Zip code,54170,FVDEYLCV,H,2024-2025,73
Zip code,54170,FVDEYLCV,K41,2024-2025,46
Zip code,54170,FVDEYLCV,KIN2,2024-2025,58
Zip code,54170,FVDEYLCV,MAL15,2024-2025,370
Zip code,54170,FVDEYLCV,NOT2,2024-2025,630
Zip code,54170,FVDEYLCV,NOT3,2024-2025,488
Zip code,54170,FVDEYLCV,NOT4,2024-2025,725
Zip code,54170,FVDEYLCV,P,2024-2025,1
Zip code,54170,FVDEYLCV,PK1,2024-2025,2
Zip code,54170,FVDEYLCV,Q,2024-2025,14
Zip code,54170,FVDEYLCV,SIG1,2024-2025,21
Zip code,54170,FVDEYLCV,SPE2,2024-2025,23
Zip code,54170,FVDEYLCV,SPE3,2024-2025,27
Zip code,54170,FVDEYLCV,SWD1,2024-2025,95
Zip code,54170,FVDEYLCV,SWO1,2024-2025,630
Zip code,54170,FVDEYLCV,UNK2,2024-2025,24
Zip code,54170,FVDEYLCV,W,2024-2025,633
Zip code,54170,FVDEYLCV,X1012,2024-2025,51
Zip code,54170,FVDEYLCV,X113,2024-2025,51
Zip code,54170,FVDEYLCV,X1210,2024-2025,57
Zip code,54170,FVDEYLCV,X1S2,2024-2025,42
Zip code,54170,FVDEYLCV,X2N2,2024-2025,50
Zip code,54170,FVDEYLCV,X3R2,2024-2025,58
Zip code,54170,FVDEYLCV,X4T2,2024-2025,54
