layer,geoid,topic,stratification,period,value,type
Zip code,54136,FDEWVAR,NOT3,2023-2024,97,Zipcode-Removal
Zip code,54136,FDEWVAR,NOT4,2023-2024,167,Zipcode-Removal
Zip code,54136,FDEWVAR,Q,2023-2024,8,Zipcode-Removal
Zip code,54136,FDEWVAR,SWD1,2023-2024,82,Zipcode-Removal
Zip code,54136,FDEWVAR,SWO1,2023-2024,85,Zipcode-Removal
Zip code,54136,FDEWVAR,UNK2,2023-2024,167,Zipcode-Removal
Zip code,54136,FDEWVAR,UNK5,2023-2024,4,Zipcode-Removal
Zip code,54136,FDEWVAR,UNK7,2023-2024,14,Zipcode-Removal
Zip code,54136,FDEWVAR,W,2023-2024,131,Zipcode-Removal
Zip code,54136,FDEWVAR,X1012,2023-2024,19,Zipcode-Removal
Zip code,54136,FDEWVAR,X113,2023-2024,18,Zipcode-Removal
Zip code,54136,FDEWVAR,X1210,2023-2024,13,Zipcode-Removal
Zip code,54136,FDEWVAR,X2N2,2023-2024,3,Zipcode-Removal
Zip code,54136,FDEWVAR,X3R2,2023-2024,2,Zipcode-Removal
Zip code,54136,FDEWVAR,X4T2,2023-2024,6,Zipcode-Removal
Zip code,54136,FDEWVAR,X5T3,2023-2024,6,Zipcode-Removal
Zip code,54136,FDEWVAR,X6T3,2023-2024,4,Zipcode-Removal
Zip code,54136,FDEWVAR,X7T2,2023-2024,23,Zipcode-Removal
Zip code,54136,FDEWVAR,X8T2,2023-2024,36,Zipcode-Removal
Zip code,54136,FDEWVAR,X9T3,2023-2024,36,Zipcode-Removal
Zip code,54140,FDEWVAR,,2023-2024,73,Zipcode-Removal
Zip code,54140,FDEWVAR,B,2023-2024,4,Zipcode-Removal
Zip code,54140,FDEWVAR,ECO1,2023-2024,38,Zipcode-Removal
Zip code,54140,FDEWVAR,EL1,2023-2024,3,Zipcode-Removal
Zip code,54140,FDEWVAR,ENG3,2023-2024,54,Zipcode-Removal
Zip code,54140,FDEWVAR,FEM3,2023-2024,8,Zipcode-Removal
Zip code,54140,FDEWVAR,H,2023-2024,7,Zipcode-Removal
Zip code,54140,FDEWVAR,KIN2,2023-2024,1,Zipcode-Removal
Zip code,54140,FDEWVAR,MAL15,2023-2024,60,Zipcode-Removal
Zip code,54140,FDEWVAR,NOT3,2023-2024,35,Zipcode-Removal
Zip code,54140,FDEWVAR,NOT4,2023-2024,73,Zipcode-Removal
Zip code,54140,FDEWVAR,Q,2023-2024,7,Zipcode-Removal
Zip code,54140,FDEWVAR,SWD1,2023-2024,33,Zipcode-Removal
Zip code,54140,FDEWVAR,SWO1,2023-2024,40,Zipcode-Removal
Zip code,54140,FDEWVAR,UNK2,2023-2024,73,Zipcode-Removal
Zip code,54140,FDEWVAR,UNK4,2023-2024,16,Zipcode-Removal
Zip code,54140,FDEWVAR,UNK5,2023-2024,2,Zipcode-Removal
Zip code,54140,FDEWVAR,UNK7,2023-2024,5,Zipcode-Removal
Zip code,54140,FDEWVAR,W,2023-2024,53,Zipcode-Removal
Zip code,54140,FDEWVAR,X1012,2023-2024,6,Zipcode-Removal
Zip code,54140,FDEWVAR,X113,2023-2024,6,Zipcode-Removal
Zip code,54140,FDEWVAR,X1210,2023-2024,1,Zipcode-Removal
Zip code,54140,FDEWVAR,X1S2,2023-2024,3,Zipcode-Removal
Zip code,54140,FDEWVAR,X2N2,2023-2024,2,Zipcode-Removal
Zip code,54140,FDEWVAR,X3R2,2023-2024,3,Zipcode-Removal
Zip code,54140,FDEWVAR,X4T2,2023-2024,1,Zipcode-Removal
Zip code,54140,FDEWVAR,X5T3,2023-2024,4,Zipcode-Removal
Zip code,54140,FDEWVAR,X6T3,2023-2024,12,Zipcode-Removal
Zip code,54140,FDEWVAR,X7T2,2023-2024,15,Zipcode-Removal
Zip code,54140,FDEWVAR,X8T2,2023-2024,11,Zipcode-Removal
