layer,geoid,topic,stratification,period,value
City or town,5550825,FVDEYLCV,SWO1,2024-2025,2497
City or town,5550825,FVDEYLCV,EL1,2024-2025,399
City or town,5550825,FVDEYLCV,ENG3,2024-2025,2722
City or town,5550825,FVDEYLCV,ECO1,2024-2025,1787
City or town,5550825,FVDEYLCV,NOT3,2024-2025,1334
City or town,5550825,FVDEYLCV,FEM3,2024-2025,1536
City or town,5550825,FVDEYLCV,MAL15,2024-2025,1585
City or town,5550825,FVDEYLCV,X1012,2024-2025,290
City or town,5550825,FVDEYLCV,X113,2024-2025,237
City or town,5550825,FVDEYLCV,X1210,2024-2025,261
City or town,5550825,FVDEYLCV,X9T3,2024-2025,232
City or town,5550825,FVDEYLCV,NOT4,2024-2025,3121
City or town,5550825,FVDEYLCV,P,2024-2025,21
City or town,5550825,FVDEYLCV,A,2024-2025,169
City or town,5550825,FVDEYLCV,B,2024-2025,248
City or town,5550825,FVDEYLCV,H,2024-2025,725
City or town,5550825,FVDEYLCV,P1,2024-2025,3
City or town,5550825,FVDEYLCV,Q,2024-2025,264
City or town,5550825,FVDEYLCV,W,2024-2025,1691
City or town,5550825,FVDEYLCV,SIG1,2024-2025,69
City or town,5550825,FVDEYLCV,SPE3,2024-2025,77
City or town,5550825,FVDEYLCV,X1S2,2024-2025,207
City or town,5550825,FVDEYLCV,X2N2,2024-2025,210
City or town,5550825,FVDEYLCV,X3R2,2024-2025,206
City or town,5550825,FVDEYLCV,X4T2,2024-2025,217
City or town,5550825,FVDEYLCV,X5T3,2024-2025,195
City or town,5550825,FVDEYLCV,K41,2024-2025,161
City or town,5550825,FVDEYLCV,KIN2,2024-2025,183
City or town,5550825,FVDEYLCV,PK1,2024-2025,16
City or town,5550825,FVDEYLCV,INT7,2024-2025,8
City or town,5550825,FVDEYLCV,X6T3,2024-2025,239
City or town,5550825,FVDEYLCV,X7T2,2024-2025,235
City or town,5550825,FVDEYLCV,X8T2,2024-2025,232
City or town,5555750,FVDEYLCV,,2024-2025,6473
City or town,5555750,FVDEYLCV,NOT2,2024-2025,5388
City or town,5555750,FVDEYLCV,SIG1,2024-2025,86
City or town,5555750,FVDEYLCV,SPE2,2024-2025,255
City or town,5555750,FVDEYLCV,SPE3,2024-2025,266
City or town,5555750,FVDEYLCV,UNK2,2024-2025,123
City or town,5555750,FVDEYLCV,SWD1,2024-2025,1085
City or town,5555750,FVDEYLCV,SWO1,2024-2025,5388
City or town,5555750,FVDEYLCV,EL1,2024-2025,268
City or town,5555750,FVDEYLCV,ENG3,2024-2025,6205
City or town,5555750,FVDEYLCV,ECO1,2024-2025,2006
City or town,5555750,FVDEYLCV,NOT3,2024-2025,4467
City or town,5555750,FVDEYLCV,FEM3,2024-2025,3082
City or town,5555750,FVDEYLCV,MAL15,2024-2025,3391
City or town,5555750,FVDEYLCV,X1S2,2024-2025,461
City or town,5555750,FVDEYLCV,X2N2,2024-2025,423
City or town,5555750,FVDEYLCV,X3R2,2024-2025,512
City or town,5555750,FVDEYLCV,X4T2,2024-2025,470
City or town,5555750,FVDEYLCV,KIN2,2024-2025,386
City or town,5555750,FVDEYLCV,NOT4,2024-2025,6473
City or town,5555750,FVDEYLCV,A,2024-2025,268
City or town,5555750,FVDEYLCV,B,2024-2025,207
City or town,5555750,FVDEYLCV,H,2024-2025,500
City or town,5555750,FVDEYLCV,P1,2024-2025,14
City or town,5555750,FVDEYLCV,Q,2024-2025,332
City or town,5555750,FVDEYLCV,W,2024-2025,5123
City or town,5555750,FVDEYLCV,P,2024-2025,29
City or town,5555750,FVDEYLCV,X5T3,2024-2025,456
City or town,5555750,FVDEYLCV,X6T3,2024-2025,481
City or town,5555750,FVDEYLCV,K41,2024-2025,264
City or town,5555750,FVDEYLCV,AUT2,2024-2025,94
City or town,5555750,FVDEYLCV,EMO1,2024-2025,98
City or town,5555750,FVDEYLCV,INT7,2024-2025,29
City or town,5555750,FVDEYLCV,OTH52,2024-2025,134
City or town,5555750,FVDEYLCV,X1012,2024-2025,505
City or town,5555750,FVDEYLCV,X113,2024-2025,481
City or town,5555750,FVDEYLCV,X1210,2024-2025,499
City or town,5555750,FVDEYLCV,X9T3,2024-2025,528
City or town,5555750,FVDEYLCV,X7T2,2024-2025,500
City or town,5555750,FVDEYLCV,X8T2,2024-2025,488
City or town,5555750,FVDEYLCV,PK1,2024-2025,19
City or town,5556800,FVDEYLCV,,2024-2025,994
City or town,5556800,FVDEYLCV,NOT2,2024-2025,823
City or town,5556800,FVDEYLCV,OTH52,2024-2025,31
City or town,5556800,FVDEYLCV,SPE2,2024-2025,34
City or town,5556800,FVDEYLCV,UNK2,2024-2025,43
City or town,5556800,FVDEYLCV,SWD1,2024-2025,158
City or town,5556800,FVDEYLCV,SWO1,2024-2025,823
City or town,5556800,FVDEYLCV,EL1,2024-2025,42
City or town,5556800,FVDEYLCV,ENG3,2024-2025,952
City or town,5556800,FVDEYLCV,ECO1,2024-2025,286
City or town,5556800,FVDEYLCV,NOT3,2024-2025,708
City or town,5556800,FVDEYLCV,FEM3,2024-2025,450
City or town,5556800,FVDEYLCV,MAL15,2024-2025,531
City or town,5556800,FVDEYLCV,X6T3,2024-2025,78
City or town,5556800,FVDEYLCV,X7T2,2024-2025,83
City or town,5556800,FVDEYLCV,X8T2,2024-2025,80
City or town,5556800,FVDEYLCV,NOT4,2024-2025,994
City or town,5556800,FVDEYLCV,P,2024-2025,2
City or town,5556800,FVDEYLCV,A,2024-2025,3
City or town,5556800,FVDEYLCV,B,2024-2025,13
City or town,5556800,FVDEYLCV,H,2024-2025,85
City or town,5556800,FVDEYLCV,Q,2024-2025,20
City or town,5556800,FVDEYLCV,W,2024-2025,871
City or town,5556800,FVDEYLCV,SIG1,2024-2025,14
City or town,5556800,FVDEYLCV,SPE3,2024-2025,43
City or town,5556800,FVDEYLCV,X1S2,2024-2025,65
City or town,5556800,FVDEYLCV,X2N2,2024-2025,67
City or town,5556800,FVDEYLCV,X3R2,2024-2025,62
City or town,5556800,FVDEYLCV,X4T2,2024-2025,59
City or town,5556800,FVDEYLCV,X5T3,2024-2025,63
City or town,5556800,FVDEYLCV,K41,2024-2025,60
City or town,5556800,FVDEYLCV,KIN2,2024-2025,58
City or town,5556800,FVDEYLCV,PK1,2024-2025,5
City or town,5556800,FVDEYLCV,EMO1,2024-2025,6
City or town,5556800,FVDEYLCV,X1012,2024-2025,83
City or town,5556800,FVDEYLCV,X113,2024-2025,78
City or town,5556800,FVDEYLCV,X1210,2024-2025,76
City or town,5556800,FVDEYLCV,X9T3,2024-2025,77
City or town,5556800,FVDEYLCV,UNK6,2024-2025,13
City or town,5556800,FVDEYLCV,UNK7,2024-2025,13
City or town,5556925,FVDEYLCV,,2024-2025,119
City or town,5556925,FVDEYLCV,NOT2,2024-2025,93
City or town,5556925,FVDEYLCV,SIG1,2024-2025,9
City or town,5556925,FVDEYLCV,SPE3,2024-2025,9
City or town,5556925,FVDEYLCV,UNK2,2024-2025,8
City or town,5556925,FVDEYLCV,SWD1,2024-2025,26
City or town,5556925,FVDEYLCV,SWO1,2024-2025,93
City or town,5556925,FVDEYLCV,ENG3,2024-2025,119
City or town,5556925,FVDEYLCV,ECO1,2024-2025,55
City or town,5556925,FVDEYLCV,NOT3,2024-2025,64
City or town,5556925,FVDEYLCV,FEM3,2024-2025,51
City or town,5556925,FVDEYLCV,MAL15,2024-2025,68
City or town,5556925,FVDEYLCV,X1S2,2024-2025,19
City or town,5556925,FVDEYLCV,X2N2,2024-2025,24
City or town,5556925,FVDEYLCV,X3R2,2024-2025,17
City or town,5556925,FVDEYLCV,X4T2,2024-2025,25
City or town,5556925,FVDEYLCV,K41,2024-2025,18
City or town,5556925,FVDEYLCV,KIN2,2024-2025,16
City or town,5556925,FVDEYLCV,NOT4,2024-2025,119
City or town,5556925,FVDEYLCV,H,2024-2025,6
City or town,5556925,FVDEYLCV,Q,2024-2025,6
City or town,5556925,FVDEYLCV,W,2024-2025,107
City or town,5559875,FVDEYLCV,,2024-2025,1030
City or town,5559875,FVDEYLCV,NOT2,2024-2025,869
City or town,5559875,FVDEYLCV,OTH52,2024-2025,23
City or town,5559875,FVDEYLCV,SPE2,2024-2025,53
City or town,5559875,FVDEYLCV,SPE3,2024-2025,36
City or town,5559875,FVDEYLCV,UNK2,2024-2025,49
City or town,5559875,FVDEYLCV,SWD1,2024-2025,161
City or town,5559875,FVDEYLCV,SWO1,2024-2025,869
City or town,5559875,FVDEYLCV,EL1,2024-2025,11
City or town,5559875,FVDEYLCV,ENG3,2024-2025,1019
City or town,5559875,FVDEYLCV,ECO1,2024-2025,309
City or town,5559875,FVDEYLCV,NOT3,2024-2025,721
City or town,5559875,FVDEYLCV,FEM3,2024-2025,507
City or town,5559875,FVDEYLCV,MAL15,2024-2025,523
City or town,5559875,FVDEYLCV,X2N2,2024-2025,66
City or town,5559875,FVDEYLCV,X3R2,2024-2025,66
City or town,5559875,FVDEYLCV,X4T2,2024-2025,66
City or town,5559875,FVDEYLCV,X5T3,2024-2025,77
City or town,5559875,FVDEYLCV,NOT4,2024-2025,1030
City or town,5559875,FVDEYLCV,P,2024-2025,2
